Date,X1,X2,X3,Y1,Y2
231,-1.00,-0.18, 0.09,-0.98, 1.00
232,-0.46,-0.82, 0.89, 0.58, 0.46
233, 0.50, 0.86, 0.87, 0.50,-0.50
234, 1.00, 0.10, 0.05,-1.00,-1.00
235, 0.58,-0.95,-0.81, 0.33,-0.58
236,-0.37, 0.69,-0.93, 0.72, 0.37
237,-0.98, 0.37,-0.19,-0.93, 0.98
238,-0.69,-1.00, 0.72, 0.05, 0.69
239, 0.24, 0.46, 0.97, 0.89,-0.24
240, 0.95, 0.62, 0.33,-0.79,-0.95
241, 0.78,-0.97,-0.62,-0.23,-0.78
242,-0.10, 0.19,-1.00, 0.98, 0.10
243,-0.89, 0.81,-0.46,-0.58, 0.89
244,-0.86,-0.87, 0.50,-0.49, 0.86
245,-0.04,-0.09, 1.00, 1.00, 0.04
246, 0.82, 0.94, 0.58,-0.33,-0.82
247, 0.93,-0.70,-0.38,-0.72,-0.93
248, 0.18,-0.36,-0.98, 0.93,-0.18
249,-0.73, 1.00,-0.69,-0.06, 0.73
250,-0.97,-0.47, 0.24,-0.88, 0.97
251,-0.32,-0.61, 0.95, 0.79, 0.32
252, 0.62, 0.97, 0.78, 0.22,-0.62
253, 0.99,-0.20,-0.10,-0.98,-0.99
254, 0.45,-0.81,-0.89, 0.59,-0.45
255,-0.51, 0.87,-0.86, 0.49, 0.51
