Date,X1,X2,X3,Y1,Y2
283, 0.25, 0.49, 0.97, 0.87,-0.25
284, 0.95, 0.59, 0.31,-0.81,-0.95
285, 0.77,-0.98,-0.63,-0.20,-0.77
286,-0.11, 0.23,-0.99, 0.97, 0.11
287,-0.90, 0.79,-0.44,-0.61, 0.90
288,-0.86,-0.89, 0.52,-0.46, 0.86
289,-0.03,-0.05, 1.00, 1.00, 0.03
290, 0.83, 0.93, 0.56,-0.37,-0.83
291, 0.92,-0.72,-0.39,-0.69,-0.92
292, 0.17,-0.33,-0.99, 0.94,-0.17
293,-0.74, 1.00,-0.67,-0.09, 0.74
294,-0.97,-0.50, 0.26,-0.87, 0.97
295,-0.30,-0.58, 0.95, 0.81, 0.30
296, 0.64, 0.98, 0.77, 0.19,-0.64
297, 0.99,-0.24,-0.12,-0.97,-0.99
298, 0.44,-0.78,-0.90, 0.62,-0.44
299,-0.52, 0.89,-0.85, 0.46, 0.52
300,-1.00, 0.04,-0.02,-1.00, 1.00
301,-0.56,-0.93, 0.83, 0.38, 0.56
302, 0.40, 0.73, 0.92, 0.69,-0.40
303, 0.99, 0.32, 0.16,-0.95,-0.99
304, 0.67,-0.99,-0.74, 0.10,-0.67
305,-0.26, 0.51,-0.96, 0.86, 0.26
306,-0.95, 0.57,-0.30,-0.82, 0.95
307,-0.77,-0.98, 0.64,-0.18, 0.77
308, 0.12, 0.25, 0.99, 0.97,-0.12
309, 0.90, 0.78, 0.43,-0.63,-0.90
310, 0.85,-0.89,-0.53,-0.45,-0.85
311, 0.02,-0.04,-1.00, 1.00,-0.02
