Date,X1,X2,X3,Y1,Y2
145, 0.47, 0.83, 0.88, 0.56,-0.47
146, 1.00, 0.17, 0.08,-0.99,-1.00
147, 0.61,-0.97,-0.79, 0.26,-0.61
148,-0.34, 0.64,-0.94, 0.77, 0.34
149,-0.97, 0.44,-0.22,-0.90, 0.97
150,-0.71,-1.00, 0.70,-0.02, 0.71
151, 0.20, 0.40, 0.98, 0.92,-0.20
152, 0.93, 0.67, 0.36,-0.74,-0.93
153, 0.81,-0.95,-0.59,-0.30,-0.81
154,-0.06, 0.12,-1.00, 0.99, 0.06
155,-0.87, 0.85,-0.49,-0.53, 0.87
156,-0.88,-0.83, 0.47,-0.56, 0.88
157,-0.08,-0.16, 1.00, 0.99, 0.08
158, 0.80, 0.96, 0.61,-0.27,-0.80
159, 0.94,-0.64,-0.34,-0.77,-0.94
160, 0.22,-0.43,-0.98, 0.90,-0.22
161,-0.70, 1.00,-0.71, 0.01, 0.70
162,-0.98,-0.40, 0.21,-0.91, 0.98
163,-0.35,-0.66, 0.93, 0.75, 0.35
164, 0.59, 0.96, 0.80, 0.29,-0.59
165, 1.00,-0.13,-0.07,-0.99,-1.00
166, 0.48,-0.85,-0.88, 0.53,-0.48
167,-0.48, 0.84,-0.88, 0.55, 0.48
168,-1.00, 0.15,-0.08,-0.99, 1.00
169,-0.60,-0.96, 0.80, 0.28, 0.60
170, 0.35, 0.65, 0.94, 0.76,-0.35
171, 0.98, 0.42, 0.22,-0.91,-0.98
172, 0.71,-1.00,-0.71,-0.00,-0.71
173,-0.21, 0.41,-0.98, 0.91, 0.21
174,-0.94, 0.66,-0.35,-0.75, 0.94
175,-0.80,-0.96, 0.60,-0.28, 0.80
176, 0.07, 0.14, 1.00, 0.99,-0.07
177, 0.88, 0.84, 0.48,-0.54,-0.88
178, 0.88,-0.84,-0.48,-0.54,-0.88
179, 0.07,-0.14,-1.00, 0.99,-0.07
180,-0.80, 0.96,-0.60,-0.28, 0.80
181,-0.94,-0.66, 0.35,-0.75, 0.94
182,-0.21,-0.41, 0.98, 0.91, 0.21
183, 0.71, 1.00, 0.71,-0.00,-0.71
184, 0.98,-0.42,-0.22,-0.91,-0.98
185, 0.35,-0.65,-0.94, 0.76,-0.35
186,-0.60, 0.96,-0.80, 0.28, 0.60
187,-1.00,-0.15, 0.08,-0.99, 1.00
188,-0.48,-0.84, 0.88, 0.55, 0.48
