Date,X1,X2,X3,Y1,Y2
99,-1.00,-0.08, 0.04,-1.00, 1.00
100,-0.51,-0.87, 0.86, 0.49, 0.51
101, 0.45, 0.81, 0.89, 0.59,-0.45
102, 0.99, 0.20, 0.10,-0.98,-0.99
103, 0.62,-0.97,-0.78, 0.22,-0.62
104,-0.32, 0.61,-0.95, 0.79, 0.32
105,-0.97, 0.47,-0.24,-0.88, 0.97
106,-0.73,-1.00, 0.69,-0.06, 0.73
107, 0.18, 0.36, 0.98, 0.93,-0.18
108, 0.93, 0.70, 0.38,-0.72,-0.93
109, 0.82,-0.94,-0.58,-0.33,-0.82
110,-0.04, 0.09,-1.00, 1.00, 0.04
111,-0.86, 0.87,-0.50,-0.49, 0.86
112,-0.89,-0.81, 0.46,-0.58, 0.89
113,-0.10,-0.19, 1.00, 0.98, 0.10
114, 0.78, 0.97, 0.62,-0.23,-0.78
115, 0.95,-0.62,-0.33,-0.79,-0.95
116, 0.24,-0.46,-0.97, 0.89,-0.24
117,-0.69, 1.00,-0.72, 0.05, 0.69
118,-0.98,-0.37, 0.19,-0.93, 0.98
119,-0.37,-0.69, 0.93, 0.72, 0.37
120, 0.58, 0.95, 0.81, 0.33,-0.58
121, 1.00,-0.10,-0.05,-1.00,-1.00
122, 0.50,-0.86,-0.87, 0.50,-0.50
123,-0.46, 0.82,-0.89, 0.58, 0.46
124,-1.00, 0.18,-0.09,-0.98, 1.00
125,-0.62,-0.97, 0.79, 0.24, 0.62
126, 0.33, 0.62, 0.94, 0.78,-0.33
127, 0.97, 0.45, 0.23,-0.89,-0.97
128, 0.72,-1.00,-0.69,-0.04,-0.72
129,-0.19, 0.38,-0.98, 0.93, 0.19
130,-0.93, 0.68,-0.37,-0.73, 0.93
131,-0.81,-0.95, 0.58,-0.32, 0.81
132, 0.05, 0.11, 1.00, 0.99,-0.05
133, 0.87, 0.86, 0.49,-0.51,-0.87
134, 0.89,-0.82,-0.46,-0.57,-0.89
135, 0.09,-0.18,-1.00, 0.98,-0.09
136,-0.79, 0.97,-0.61,-0.25, 0.79
137,-0.94,-0.63, 0.33,-0.78, 0.94
138,-0.23,-0.44, 0.97, 0.90, 0.23
139, 0.70, 1.00, 0.72, 0.03,-0.70
140, 0.98,-0.39,-0.20,-0.92,-0.98
141, 0.36,-0.68,-0.93, 0.74,-0.36
142,-0.59, 0.95,-0.81, 0.31, 0.59
143,-1.00,-0.11, 0.06,-0.99, 1.00
144,-0.49,-0.86, 0.87, 0.52, 0.49
