Date,X1,X2,X3,Y1,Y2
1, 0.84, 0.91, 0.54,-0.42,-0.84
2, 0.91,-0.76,-0.42,-0.65,-0.91
3, 0.14,-0.28,-0.99, 0.96,-0.14
4,-0.76, 0.99,-0.65,-0.15, 0.76
5,-0.96,-0.54, 0.28,-0.84, 0.96
6,-0.28,-0.54, 0.96, 0.84, 0.28
7, 0.66, 0.99, 0.75, 0.14,-0.66
8, 0.99,-0.29,-0.15,-0.96,-0.99
9, 0.41,-0.75,-0.91, 0.66,-0.41
10,-0.54, 0.91,-0.84, 0.41, 0.54
11,-1.00,-0.01, 0.00,-1.00, 1.00
12,-0.54,-0.91, 0.84, 0.42, 0.54
13, 0.42, 0.76, 0.91, 0.65,-0.42
14, 0.99, 0.27, 0.14,-0.96,-0.99
15, 0.65,-0.99,-0.76, 0.15,-0.65
16,-0.29, 0.55,-0.96, 0.83, 0.29
17,-0.96, 0.53,-0.28,-0.85, 0.96
18,-0.75,-0.99, 0.66,-0.13, 0.75
19, 0.15, 0.30, 0.99, 0.96,-0.15
20, 0.91, 0.75, 0.41,-0.67,-0.91
21, 0.84,-0.92,-0.55,-0.40,-0.84
22,-0.01, 0.02,-1.00, 1.00, 0.01
23,-0.85, 0.90,-0.53,-0.43, 0.85
24,-0.91,-0.77, 0.42,-0.64, 0.91
25,-0.13,-0.26, 0.99, 0.96, 0.13
26, 0.76, 0.99, 0.65,-0.16,-0.76
27, 0.96,-0.56,-0.29,-0.83,-0.96
28, 0.27,-0.52,-0.96, 0.85,-0.27
29,-0.66, 0.99,-0.75, 0.12, 0.66
30,-0.99,-0.30, 0.15,-0.95, 0.99
31,-0.40,-0.74, 0.91, 0.67, 0.40
32, 0.55, 0.92, 0.83, 0.39,-0.55
33, 1.00,-0.03,-0.01,-1.00,-1.00
34, 0.53,-0.90,-0.85, 0.44,-0.53
35,-0.43, 0.77,-0.90, 0.63, 0.43
36,-0.99, 0.25,-0.13,-0.97, 0.99
37,-0.64,-0.99, 0.77, 0.17, 0.64
38, 0.30, 0.57, 0.96, 0.82,-0.30
39, 0.96, 0.51, 0.27,-0.86,-0.96
40, 0.75,-0.99,-0.67,-0.11,-0.75
41,-0.16, 0.31,-0.99, 0.95, 0.16
42,-0.92, 0.73,-0.40,-0.68, 0.92
43,-0.83,-0.92, 0.56,-0.38, 0.83
44, 0.02, 0.04, 1.00, 1.00,-0.02
45, 0.85, 0.89, 0.53,-0.45,-0.85
46, 0.90,-0.78,-0.43,-0.63,-0.90
47, 0.12,-0.25,-0.99, 0.97,-0.12
48,-0.77, 0.98,-0.64,-0.18, 0.77
49,-0.95,-0.57, 0.30,-0.82, 0.95
50,-0.26,-0.51, 0.96, 0.86, 0.26
