Date,X1,X2,X3,Y1,Y2
51, 0.67, 0.99, 0.74, 0.10,-0.67
52, 0.99,-0.32,-0.16,-0.95,-0.99
53, 0.40,-0.73,-0.92, 0.69,-0.40
54,-0.56, 0.93,-0.83, 0.38, 0.56
55,-1.00,-0.04, 0.02,-1.00, 1.00
56,-0.52,-0.89, 0.85, 0.46, 0.52
57, 0.44, 0.78, 0.90, 0.62,-0.44
58, 0.99, 0.24, 0.12,-0.97,-0.99
59, 0.64,-0.98,-0.77, 0.19,-0.64
60,-0.30, 0.58,-0.95, 0.81, 0.30
61,-0.97, 0.50,-0.26,-0.87, 0.97
62,-0.74,-1.00, 0.67,-0.09, 0.74
63, 0.17, 0.33, 0.99, 0.94,-0.17
64, 0.92, 0.72, 0.39,-0.69,-0.92
65, 0.83,-0.93,-0.56,-0.37,-0.83
66,-0.03, 0.05,-1.00, 1.00, 0.03
67,-0.86, 0.89,-0.52,-0.46, 0.86
68,-0.90,-0.79, 0.44,-0.61, 0.90
69,-0.11,-0.23, 0.99, 0.97, 0.11
70, 0.77, 0.98, 0.63,-0.20,-0.77
71, 0.95,-0.59,-0.31,-0.81,-0.95
72, 0.25,-0.49,-0.97, 0.87,-0.25
73,-0.68, 1.00,-0.74, 0.08, 0.68
74,-0.99,-0.34, 0.17,-0.94, 0.99
75,-0.39,-0.71, 0.92, 0.70, 0.39
76, 0.57, 0.93, 0.82, 0.36,-0.57
77, 1.00,-0.06,-0.03,-1.00,-1.00
78, 0.51,-0.88,-0.86, 0.47,-0.51
79,-0.44, 0.80,-0.90, 0.61, 0.44
80,-0.99, 0.22,-0.11,-0.98, 0.99
81,-0.63,-0.98, 0.78, 0.21, 0.63
82, 0.31, 0.59, 0.95, 0.80,-0.31
83, 0.97, 0.48, 0.25,-0.88,-0.97
84, 0.73,-1.00,-0.68,-0.08,-0.73
85,-0.18, 0.35,-0.98, 0.94, 0.18
86,-0.92, 0.71,-0.38,-0.71, 0.92
87,-0.82,-0.94, 0.57,-0.35, 0.82
88, 0.04, 0.07, 1.00, 1.00,-0.04
89, 0.86, 0.88, 0.51,-0.48,-0.86
90, 0.89,-0.80,-0.45,-0.60,-0.89
91, 0.11,-0.21,-0.99, 0.98,-0.11
92,-0.78, 0.98,-0.63,-0.22, 0.78
93,-0.95,-0.60, 0.32,-0.80, 0.95
94,-0.25,-0.48, 0.97, 0.88, 0.25
95, 0.68, 1.00, 0.73, 0.07,-0.68
96, 0.98,-0.35,-0.18,-0.93,-0.98
97, 0.38,-0.70,-0.93, 0.71,-0.38
98,-0.57, 0.94,-0.82, 0.34, 0.57
